,Date,Province_State,Recovered,Deaths,Confirmed,Active
139,2020-03-14,Telengana,0,0.0,1,1.0
140,2020-03-14,Uttar Pradesh,5,0.0,12,7.0
141,2020-03-14,Ladakh,0,0.0,3,3.0
142,2020-03-14,Tamil Nadu,0,0.0,1,1.0
143,2020-03-14,Jammu and Kashmir,0,0.0,2,2.0
144,2020-03-14,Punjab,0,0.0,1,1.0
145,2020-03-14,Karnataka,0,1.0,6,5.0
146,2020-03-14,Maharashtra,0,0.0,14,14.0
147,2020-03-14,Andhra Pradesh,0,0.0,1,1.0
148,2020-03-15,Andhra Pradesh,0,0.0,1,1.0
149,2020-03-15,Delhi,2,1.0,7,4.0
150,2020-03-15,Haryana,0,0.0,14,14.0
151,2020-03-15,Karnataka,0,1.0,6,5.0
152,2020-03-15,Kerala,3,0.0,22,19.0
153,2020-03-15,Maharashtra,0,0.0,32,32.0
154,2020-03-15,Punjab,0,0.0,1,1.0
155,2020-03-15,Rajasthan,3,0.0,4,1.0
156,2020-03-15,Tamil Nadu,0,0.0,1,1.0
157,2020-03-15,Telengana,1,0.0,3,2.0
158,2020-03-15,Jammu and Kashmir,0,0.0,2,2.0
159,2020-03-15,Ladakh,0,0.0,3,3.0
160,2020-03-15,Uttar Pradesh,4,0.0,13,9.0
161,2020-03-15,Uttarakhand,0,0.0,1,1.0
162,2020-03-16,Andhra Pradesh,0,0.0,1,1.0
163,2020-03-16,Delhi,2,1.0,7,4.0
164,2020-03-16,Haryana,0,0.0,14,14.0
165,2020-03-16,Karnataka,0,1.0,6,5.0
166,2020-03-16,Kerala,3,0.0,23,20.0
167,2020-03-16,Maharashtra,0,0.0,32,32.0
168,2020-03-16,Odisha,0,0.0,1,1.0
169,2020-03-16,Punjab,0,0.0,1,1.0
170,2020-03-16,Rajasthan,3,0.0,4,1.0
171,2020-03-16,Tamil Nadu,0,0.0,1,1.0
172,2020-03-16,Telengana,1,0.0,3,2.0
173,2020-03-16,Jammu and Kashmir,0,0.0,3,3.0
174,2020-03-16,Ladakh,0,0.0,4,4.0
175,2020-03-16,Uttar Pradesh,4,0.0,13,9.0
176,2020-03-16,Uttarakhand,0,0.0,1,1.0
177,2020-03-17,Andhra Pradesh,0,0.0,1,1.0
178,2020-03-17,Delhi,2,1.0,8,5.0
179,2020-03-17,Haryana,0,0.0,15,15.0
180,2020-03-17,Karnataka,0,1.0,11,10.0
181,2020-03-17,Kerala,3,0.0,26,23.0
182,2020-03-17,Maharashtra,0,1.0,39,38.0
183,2020-03-17,Odisha,0,0.0,1,1.0
184,2020-03-17,Punjab,0,0.0,1,1.0
185,2020-03-17,Rajasthan,3,0.0,4,1.0
186,2020-03-17,Tamil Nadu,0,0.0,1,1.0
187,2020-03-17,Telengana,1,0.0,5,4.0
188,2020-03-17,Jammu and Kashmir,0,0.0,3,3.0
189,2020-03-17,Ladakh,0,0.0,6,6.0
190,2020-03-17,Uttar Pradesh,5,0.0,15,10.0
191,2020-03-17,Uttarakhand,0,0.0,1,1.0
192,2020-03-18,Andhra Pradesh,0,0.0,1,1.0
193,2020-03-18,Delhi,2,1.0,10,7.0
194,2020-03-18,Haryana,0,0.0,17,17.0
195,2020-03-18,Karnataka,0,1.0,11,10.0
196,2020-03-18,Kerala,3,0.0,27,24.0
197,2020-03-18,Maharashtra,0,1.0,42,41.0
198,2020-03-18,Odisha,0,0.0,1,1.0
199,2020-03-18,Puducherry,0,0.0,1,1.0
200,2020-03-18,Punjab,0,0.0,1,1.0
201,2020-03-18,Rajasthan,3,0.0,4,1.0
202,2020-03-18,Tamil Nadu,0,0.0,1,1.0
203,2020-03-18,Telengana,1,0.0,6,5.0
204,2020-03-18,Jammu and Kashmir,0,0.0,3,3.0
205,2020-03-18,Ladakh,0,0.0,8,8.0
206,2020-03-18,Uttar Pradesh,5,0.0,16,11.0
207,2020-03-18,Uttarakhand,0,0.0,1,1.0
208,2020-03-18,West Bengal,0,0.0,1,1.0
209,2020-03-19,Andhra Pradesh,0,0.0,2,2.0
210,2020-03-19,Chhattisgarh,0,0.0,1,1.0
211,2020-03-19,Delhi,3,1.0,12,8.0
212,2020-03-19,Haryana,0,0.0,17,17.0
213,2020-03-19,Karnataka,0,1.0,14,13.0
214,2020-03-19,Kerala,3,0.0,27,24.0
215,2020-03-19,Maharashtra,0,1.0,47,46.0
216,2020-03-19,Odisha,0,0.0,1,1.0
217,2020-03-19,Puducherry,0,0.0,1,1.0
218,2020-03-19,Punjab,0,1.0,2,1.0
219,2020-03-19,Rajasthan,3,0.0,7,4.0
220,2020-03-19,Tamil Nadu,1,0.0,2,1.0
221,2020-03-19,Telengana,1,0.0,6,5.0
222,2020-03-19,Chandigarh,0,0.0,1,1.0
223,2020-03-19,Jammu and Kashmir,0,0.0,4,4.0
224,2020-03-19,Ladakh,0,0.0,8,8.0
225,2020-03-19,Uttar Pradesh,9,0.0,19,10.0
226,2020-03-19,Uttarakhand,0,0.0,1,1.0
227,2020-03-19,West Bengal,0,0.0,1,1.0
228,2020-03-20,Andhra Pradesh,0,0.0,3,3.0
229,2020-03-20,Chhattisgarh,0,0.0,1,1.0
230,2020-03-20,Delhi,5,1.0,17,11.0
231,2020-03-20,Gujarat,0,0.0,5,5.0
232,2020-03-20,Haryana,0,0.0,17,17.0
233,2020-03-20,Karnataka,1,1.0,15,13.0
234,2020-03-20,Kerala,3,0.0,28,25.0
235,2020-03-20,Maharashtra,0,1.0,52,51.0
236,2020-03-20,Odisha,0,0.0,2,2.0
237,2020-03-20,Puducherry,0,0.0,1,1.0
